TEAM,MATCH UP,GAME DATE,FBPS,"OPP
SAS,SAS vs. MIN,11/27/2019,16,12
NYK,NYK @ TOR,11/27/2019,17,19
WAS,WAS @ PHX,11/27/2019,16,24
OKC,OKC @ POR,11/27/2019,11,9
BOS,BOS vs. BKN,11/27/2019,21,13
SAC,SAC @ PHI,11/27/2019,18,23
PHX,PHX vs. WAS,11/27/2019,24,16
POR,POR vs. OKC,11/27/2019,9,11
CHI,CHI @ GSW,11/27/2019,18,17
MIN,MIN @ SAS,11/27/2019,12,16
PHI,PHI vs. SAC,11/27/2019,23,18
LAL,LAL @ NOP,11/27/2019,18,22
ORL,ORL @ CLE,11/27/2019,24,11
MIL,MIL @ CLE,11/29/2019,13,8
CHA,CHA @ DET,11/29/2019,10,15
ATL,ATL @ IND,11/29/2019,10,17
MIA,MIA vs. GSW,11/29/2019,8,7
POR,POR vs. CHI,11/29/2019,10,19
DET,DET vs. CHA,11/29/2019,15,10
LAC,LAC @ SAS,11/29/2019,6,22
ORL,ORL vs. TOR,11/29/2019,10,18
TOR,TOR @ ORL,11/29/2019,18,10
OKC,OKC vs. NOP,11/29/2019,4,9
MEM,MEM vs. UTA,11/29/2019,17,8
BKN,BKN vs. BOS,11/29/2019,8,19
NOP,NOP @ OKC,11/29/2019,9,4
PHX,PHX vs. DAL,11/29/2019,8,12
LAL,LAL vs. WAS,11/29/2019,28,12
DAL,DAL @ PHX,11/29/2019,12,8
WAS,WAS @ LAL,11/29/2019,12,28
BOS,BOS @ BKN,11/29/2019,19,8
UTA,UTA @ MEM,11/29/2019,8,17
PHI,PHI @ NYK,11/29/2019,6,5
NYK,NYK vs. PHI,11/29/2019,5,6
IND,IND vs. ATL,11/29/2019,17,10
GSW,GSW @ MIA,11/29/2019,7,8
CHI,CHI @ POR,11/29/2019,19,10
SAS,SAS vs. LAC,11/29/2019,22,6
CLE,CLE vs. MIL,11/29/2019,8,13
CHA,CHA @ MIL,11/30/2019,17,34
ATL,ATL @ HOU,11/30/2019,16,12
PHI,PHI vs. IND,11/30/2019,11,14
MIL,MIL vs. CHA,11/30/2019,34,17
DEN,DEN @ SAC,11/30/2019,7,8
IND,IND @ PHI,11/30/2019,14,11
HOU,HOU vs. ATL,11/30/2019,12,16
SAC,SAC vs. DEN,11/30/2019,8,7
ORL,ORL vs. GSW,12/01/2019,15,18
MIA,MIA @ BKN,12/01/2019,5,13
UTA,UTA @ TOR,12/01/2019,15,21
TOR,TOR vs. UTA,12/01/2019,21,15
NYK,NYK vs. BOS,12/01/2019,10,17
LAC,LAC vs. WAS,12/01/2019,17,22
BOS,BOS @ NYK,12/01/2019,17,10
MEM,MEM @ MIN,12/01/2019,13,9
LAL,LAL vs. DAL,12/01/2019,28,19
SAS,SAS @ DET,12/01/2019,13,12
NOP,NOP vs. OKC,12/01/2019,23,2
DET,DET vs. SAS,12/01/2019,12,13
GSW,GSW @ ORL,12/01/2019,18,15
MIN,MIN vs. MEM,12/01/2019,9,13
BKN,BKN vs. MIA,12/01/2019,13,5
DAL,DAL @ LAL,12/01/2019,19,28
WAS,WAS @ LAC,12/01/2019,22,17
OKC,OKC @ NOP,12/01/2019,2,23
IND,IND @ MEM,12/02/2019,10,6
CHA,CHA vs. PHX,12/02/2019,11,4
PHX,PHX @ CHA,12/02/2019,4,11
PHI,PHI vs. UTA,12/02/2019,17,15
CHI,CHI @ SAC,12/02/2019,7,11
NYK,NYK @ MIL,12/02/2019,17,29
ATL,ATL vs. GSW,12/02/2019,17,2
SAC,SAC vs. CHI,12/02/2019,11,7
GSW,GSW @ ATL,12/02/2019,2,17
MEM,MEM vs. IND,12/02/2019,6,10
MIL,MIL vs. NYK,12/02/2019,29,17
UTA,UTA @ PHI,12/02/2019,15,17
LAL,LAL @ DEN,12/03/2019,22,6
ORL,ORL @ WAS,12/03/2019,0,8
SAS,SAS vs. HOU,12/03/2019,17,18
WAS,WAS vs. ORL,12/03/2019,8,0
DEN,DEN vs. LAL,12/03/2019,6,22
NOP,NOP vs. DAL,12/03/2019,12,8
DET,DET @ CLE,12/03/2019,17,10
CLE,CLE vs. DET,12/03/2019,10,17
TOR,TOR vs. MIA,12/03/2019,17,13
POR,POR @ LAC,12/03/2019,17,15
LAC,LAC vs. POR,12/03/2019,15,17
DAL,DAL @ NOP,12/03/2019,8,12
MIA,MIA @ TOR,12/03/2019,13,17
HOU,HOU @ SAS,12/03/2019,18,17
ORL,ORL vs. PHX,12/04/2019,9,18
UTA,UTA vs. LAL,12/04/2019,5,32
GSW,GSW @ CHA,12/04/2019,9,12
CHI,CHI vs. MEM,12/04/2019,14,7
BOS,BOS vs. MIA,12/04/2019,13,13
MIL,MIL @ DET,12/04/2019,10,13
DET,DET vs. MIL,12/04/2019,13,10
MEM,MEM @ CHI,12/04/2019,7,14
ATL,ATL vs. BKN,12/04/2019,7,13
CHA,CHA vs. GSW,12/04/2019,12,9
MIA,MIA @ BOS,12/04/2019,13,13
SAC,SAC @ POR,12/04/2019,17,28
PHX,PHX @ ORL,12/04/2019,18,9
DAL,DAL vs. MIN,12/04/2019,12,11
POR,POR vs. SAC,12/04/2019,28,17
BKN,BKN @ ATL,12/04/2019,13,7
IND,IND @ OKC,12/04/2019,8,7
MIN,MIN @ DAL,12/04/2019,11,12
OKC,OKC vs. IND,12/04/2019,7,8
LAL,LAL @ UTA,12/04/2019,32,5
HOU,HOU @ TOR,12/05/2019,23,19
DEN,DEN @ NYK,12/05/2019,11,6
NYK,NYK vs. DEN,12/05/2019,6,11
WAS,WAS vs. PHI,12/05/2019,10,7
PHI,PHI @ WAS,12/05/2019,7,10
NOP,NOP vs. PHX,12/05/2019,22,14
PHX,PHX @ NOP,12/05/2019,14,22
TOR,TOR vs. HOU,12/05/2019,19,23
GSW,GSW @ CHI,12/06/2019,10,11
BKN,BKN @ CHA,12/06/2019,16,8
BOS,BOS vs. DEN,12/06/2019,15,13
POR,POR vs. LAL,12/06/2019,12,20
LAC,LAC @ MIL,12/06/2019,9,14
CLE,CLE vs. ORL,12/06/2019,15,11
SAC,SAC @ SAS,12/06/2019,7,5
OKC,OKC vs. MIN,12/06/2019,2,11
MIN,MIN @ OKC,12/06/2019,11,2
LAL,LAL @ POR,12/06/2019,20,12
DEN,DEN @ BOS,12/06/2019,13,15
SAS,SAS vs. SAC,12/06/2019,5,7
ORL,ORL @ CLE,12/06/2019,11,15
DET,DET vs. IND,12/06/2019,5,14
CHA,CHA vs. BKN,12/06/2019,8,16
MIA,MIA vs. WAS,12/06/2019,2,11
CHI,CHI vs. GSW,12/06/2019,11,10
WAS,WAS @ MIA,12/06/2019,11,2
MIL,MIL vs. LAC,12/06/2019,14,9
IND,IND @ DET,12/06/2019,14,5
PHI,PHI vs. CLE,12/07/2019,30,7
NOP,NOP @ DAL,12/07/2019,14,11
DAL,DAL vs. NOP,12/07/2019,11,14
HOU,HOU vs. PHX,12/07/2019,18,9
MEM,MEM @ UTA,12/07/2019,21,8
CLE,CLE @ PHI,12/07/2019,7,30
UTA,UTA vs. MEM,12/07/2019,8,21
IND,IND @ NYK,12/07/2019,4,8
PHX,PHX @ HOU,12/07/2019,9,18
NYK,NYK vs. IND,12/07/2019,8,4
POR,POR vs. OKC,12/08/2019,6,7
CHI,CHI @ MIA,12/08/2019,10,8
DEN,DEN @ BKN,12/08/2019,6,4
PHI,PHI vs. TOR,12/08/2019,12,15
TOR,TOR @ PHI,12/08/2019,15,12
OKC,OKC @ POR,12/08/2019,7,6
CHA,CHA vs. ATL,12/08/2019,11,11
LAC,LAC @ WAS,12/08/2019,9,13
MIN,MIN @ LAL,12/08/2019,25,32
WAS,WAS vs. LAC,12/08/2019,13,9
SAC,SAC @ DAL,12/08/2019,16,5
BKN,BKN vs. DEN,12/08/2019,4,6
LAL,LAL vs. MIN,12/08/2019,32,25
ATL,ATL @ CHA,12/08/2019,11,11
MIA,MIA vs. CHI,12/08/2019,8,10
DAL,DAL vs. SAC,12/08/2019,5,16
UTA,UTA vs. OKC,12/09/2019,13,12
MEM,MEM @ GSW,12/09/2019,25,10
SAC,SAC @ HOU,12/09/2019,12,4
MIN,MIN @ PHX,12/09/2019,7,22
TOR,TOR @ CHI,12/09/2019,11,12
LAC,LAC @ IND,12/09/2019,13,20
IND,IND vs. LAC,12/09/2019,20,13
DET,DET @ NOP,12/09/2019,13,27
CLE,CLE @ BOS,12/09/2019,10,17
PHX,PHX vs. MIN,12/09/2019,22,7
NOP,NOP vs. DET,12/09/2019,27,13
ORL,ORL @ MIL,12/09/2019,25,13
MIL,MIL vs. ORL,12/09/2019,13,25
HOU,HOU vs. SAC,12/09/2019,4,12
GSW,GSW vs. MEM,12/09/2019,10,25
CHI,CHI vs. TOR,12/09/2019,12,11
OKC,OKC @ UTA,12/09/2019,12,13
BOS,BOS vs. CLE,12/09/2019,17,10
ATL,ATL @ MIA,12/10/2019,0,15
PHI,PHI vs. DEN,12/10/2019,19,9
CHA,CHA vs. WAS,12/10/2019,8,9
DEN,DEN @ PHI,12/10/2019,9,19
NYK,NYK @ POR,12/10/2019,13,14
WAS,WAS @ CHA,12/10/2019,9,8
MIA,MIA vs. ATL,12/10/2019,15,0
POR,POR vs. NYK,12/10/2019,14,13
BOS,BOS @ IND,12/11/2019,9,22
IND,IND vs. BOS,12/11/2019,22,9
TOR,TOR vs. LAC,12/11/2019,12,11
NYK,NYK @ GSW,12/11/2019,17,19
SAC,SAC vs. OKC,12/11/2019,14,12
PHX,PHX vs. MEM,12/11/2019,12,9
MEM,MEM @ PHX,12/11/2019,9,12
HOU,HOU @ CLE,12/11/2019,20,13
UTA,UTA @ MIN,12/11/2019,0,7
LAC,LAC @ TOR,12/11/2019,11,12
ATL,ATL @ CHI,12/11/2019,18,33
OKC,OKC @ SAC,12/11/2019,12,14
GSW,GSW vs. NYK,12/11/2019,19,17
CLE,CLE vs. HOU,12/11/2019,13,20
MIN,MIN vs. UTA,12/11/2019,7,0
NOP,NOP @ MIL,12/11/2019,22,15
ORL,ORL vs. LAL,12/11/2019,14,8
LAL,LAL @ ORL,12/11/2019,8,14
CHI,CHI vs. ATL,12/11/2019,33,18
MIL,MIL vs. NOP,12/11/2019,15,22
BKN,BKN vs. CHA,12/11/2019,9,16
CHA,CHA @ BKN,12/11/2019,16,9
DEN,DEN vs. POR,12/12/2019,6,5
PHI,PHI @ BOS,12/12/2019,10,10
POR,POR @ DEN,12/12/2019,5,6
DET,DET vs. DAL,12/12/2019,11,16
SAS,SAS vs. CLE,12/12/2019,18,9
BOS,BOS vs. PHI,12/12/2019,10,10
DAL,DAL @ DET,12/12/2019,16,11
CLE,CLE @ SAS,12/12/2019,9,18
LAC,LAC @ MIN,12/13/2019,7,15
HOU,HOU @ ORL,12/13/2019,15,11
ORL,ORL vs. HOU,12/13/2019,11,15
NOP,NOP @ PHI,12/13/2019,14,10
CHA,CHA @ CHI,12/13/2019,13,13
CHI,CHI vs. CHA,12/13/2019,13,13
MIA,MIA vs. LAL,12/13/2019,14,13
MIN,MIN vs. LAC,12/13/2019,15,7
IND,IND @ ATL,12/13/2019,7,15
ATL,ATL vs. IND,12/13/2019,15,7
NYK,NYK @ SAC,12/13/2019,5,5
LAL,LAL @ MIA,12/13/2019,13,14
PHI,PHI vs. NOP,12/13/2019,10,14
SAC,SAC vs. NYK,12/13/2019,5,5
MIL,MIL @ MEM,12/13/2019,21,20
GSW,GSW @ UTA,12/13/2019,4,11
UTA,UTA vs. GSW,12/13/2019,11,4
MEM,MEM vs. MIL,12/13/2019,20,21
BKN,BKN @ TOR,12/14/2019,17,32
HOU,HOU vs. DET,12/14/2019,6,26
WAS,WAS @ MEM,12/14/2019,15,22
DEN,DEN vs. OKC,12/14/2019,12,8
DAL,DAL vs. MIA,12/14/2019,10,20
SAS,SAS @ PHX,12/14/2019,21,18
MIL,MIL vs. CLE,12/14/2019,35,15
DET,DET @ HOU,12/14/2019,26,6
PHX,PHX vs. SAS,12/14/2019,18,21
TOR,TOR vs. BKN,12/14/2019,32,17
MIA,MIA @ DAL,12/14/2019,20,10
MEM,MEM vs. WAS,12/14/2019,22,15
CLE,CLE @ MIL,12/14/2019,15,35
LAC,LAC @ CHI,12/14/2019,8,13
CHI,CHI vs. LAC,12/14/2019,13,8
OKC,OKC @ DEN,12/14/2019,8,12
PHI,PHI @ BKN,12/15/2019,8,23
IND,IND vs. CHA,12/15/2019,15,12
ORL,ORL @ NOP,12/15/2019,22,18
LAL,LAL @ ATL,12/15/2019,18,19
NYK,NYK @ DEN,12/15/2019,12,14
ATL,ATL vs. LAL,12/15/2019,19,18
BKN,BKN vs. PHI,12/15/2019,23,8
DEN,DEN vs. NYK,12/15/2019,14,12
GSW,GSW vs. SAC,12/15/2019,4,10
NOP,NOP vs. ORL,12/15/2019,18,22
CHA,CHA @ IND,12/15/2019,12,15
SAC,SAC @ GSW,12/15/2019,10,4
TOR,TOR vs. CLE,12/16/2019,29,4
SAS,SAS @ HOU,12/16/2019,12,13
MIL,MIL vs. DAL,12/16/2019,27,11
MIA,MIA @ MEM,12/16/2019,11,9
OKC,OKC vs. CHI,12/16/2019,6,14
CLE,CLE @ TOR,12/16/2019,4,29
PHX,PHX vs. POR,12/16/2019,8,18
CHI,CHI @ OKC,12/16/2019,14,6
DAL,DAL @ MIL,12/16/2019,11,27
WAS,WAS @ DET,12/16/2019,7,10
HOU,HOU vs. SAS,12/16/2019,13,12
POR,POR @ PHX,12/16/2019,18,8
MEM,MEM vs. MIA,12/16/2019,9,11
DET,DET vs. WAS,12/16/2019,10,7
NYK,NYK vs. ATL,12/17/2019,10,12
ATL,ATL @ NYK,12/17/2019,12,10
SAC,SAC @ CHA,12/17/2019,3,10
NOP,NOP vs. BKN,12/17/2019,16,4
LAL,LAL @ IND,12/17/2019,10,8
UTA,UTA vs. ORL,12/17/2019,17,17
IND,IND vs. LAL,12/17/2019,8,10
PHX,PHX @ LAC,12/17/2019,22,21
ORL,ORL @ UTA,12/17/2019,17,17
BKN,BKN @ NOP,12/17/2019,4,16
LAC,LAC vs. PHX,12/17/2019,21,22
CHA,CHA vs. SAC,12/17/2019,10,3
MIN,MIN vs. NOP,12/18/2019,6,10
ORL,ORL @ DEN,12/18/2019,9,17
DEN,DEN vs. ORL,12/18/2019,17,9
OKC,OKC vs. MEM,12/18/2019,10,2
POR,POR vs. GSW,12/18/2019,18,16
MIA,MIA @ PHI,12/18/2019,14,16
CHA,CHA @ CLE,12/18/2019,7,13
MEM,MEM @ OKC,12/18/2019,2,10
DAL,DAL vs. BOS,12/18/2019,10,21
NOP,NOP @ MIN,12/18/2019,10,6
GSW,GSW @ POR,12/18/2019,16,18
PHI,PHI vs. MIA,12/18/2019,16,14
WAS,WAS vs. CHI,12/18/2019,7,7
DET,DET vs. TOR,12/18/2019,10,15
CLE,CLE vs. CHA,12/18/2019,13,7
CHI,CHI @ WAS,12/18/2019,7,7
BOS,BOS @ DAL,12/18/2019,21,10
TOR,TOR @ DET,12/18/2019,15,10
ATL,ATL vs. UTA,12/19/2019,15,16
HOU,HOU @ LAC,12/19/2019,15,16
MIL,MIL vs. LAL,12/19/2019,11,14
SAS,SAS vs. BKN,12/19/2019,14,12
UTA,UTA @ ATL,12/19/2019,16,15
LAL,LAL @ MIL,12/19/2019,14,11
BKN,BKN @ SAS,12/19/2019,12,14
LAC,LAC vs. HOU,12/19/2019,16,15
DET,DET @ BOS,12/20/2019,12,15
ORL,ORL @ POR,12/20/2019,11,21
MIN,MIN @ DEN,12/20/2019,9,11
IND,IND vs. SAC,12/20/2019,14,11
NYK,NYK @ MIA,12/20/2019,10,10
PHX,PHX @ OKC,12/20/2019,6,4
MIA,MIA vs. NYK,12/20/2019,10,10
DEN,DEN vs. MIN,12/20/2019,11,9
TOR,TOR vs. WAS,12/20/2019,16,25
GSW,GSW vs. NOP,12/20/2019,19,15
PHI,PHI vs. DAL,12/20/2019,18,17
CLE,CLE vs. MEM,12/20/2019,14,23
POR,POR vs. ORL,12/20/2019,21,11
OKC,OKC vs. PHX,12/20/2019,4,6
NOP,NOP @ GSW,12/20/2019,15,19
SAC,SAC @ IND,12/20/2019,11,14
BOS,BOS vs. DET,12/20/2019,15,12
WAS,WAS @ TOR,12/20/2019,25,16
DAL,DAL @ PHI,12/20/2019,17,18
MEM,MEM @ CLE,12/20/2019,23,14
SAC,SAC @ MEM,12/21/2019,17,20
CHI,CHI @ DET,12/21/2019,19,8
CHA,CHA vs. UTA,12/21/2019,15,3
UTA,UTA @ CHA,12/21/2019,3,15
ATL,ATL @ BKN,12/21/2019,17,16
LAC,LAC @ SAS,12/21/2019,26,13
PHI,PHI vs. WAS,12/21/2019,19,15
PHX,PHX vs. HOU,12/21/2019,11,13
MIN,MIN @ POR,12/21/2019,7,10
WAS,WAS @ PHI,12/21/2019,15,19
MEM,MEM vs. SAC,12/21/2019,20,17
DET,DET vs. CHI,12/21/2019,8,19
POR,POR vs. MIN,12/21/2019,10,7
NYK,NYK vs. MIL,12/21/2019,5,19
SAS,SAS vs. LAC,12/21/2019,13,26
MIL,MIL @ NYK,12/21/2019,19,5
BKN,BKN vs. ATL,12/21/2019,16,17
HOU,HOU @ PHX,12/21/2019,13,11
CHA,CHA @ BOS,12/22/2019,2,10
OKC,OKC vs. LAC,12/22/2019,4,3
LAC,LAC @ OKC,12/22/2019,3,4
TOR,TOR vs. DAL,12/22/2019,17,10
DEN,DEN @ LAL,12/22/2019,22,9
DAL,DAL @ TOR,12/22/2019,10,17
IND,IND @ MIL,12/22/2019,14,18
LAL,LAL vs. DEN,12/22/2019,9,22
BOS,BOS vs. CHA,12/22/2019,10,2
MIL,MIL vs. IND,12/22/2019,18,14
TOR,TOR @ IND,12/23/2019,24,12
MIN,MIN @ GSW,12/23/2019,25,22
HOU,HOU @ SAC,12/23/2019,15,23
PHX,PHX vs. DEN,12/23/2019,15,4
UTA,UTA @ MIA,12/23/2019,7,13
CLE,CLE vs. ATL,12/23/2019,10,12
CHI,CHI @ ORL,12/23/2019,6,12
IND,IND vs. TOR,12/23/2019,12,24
WAS,WAS @ NYK,12/23/2019,12,10
ATL,ATL @ CLE,12/23/2019,12,10
ORL,ORL vs. CHI,12/23/2019,12,6
PHI,PHI @ DET,12/23/2019,13,15
MIA,MIA vs. UTA,12/23/2019,13,7
NOP,NOP @ POR,12/23/2019,14,12
DET,DET vs. PHI,12/23/2019,15,13
SAC,SAC vs. HOU,12/23/2019,23,15
GSW,GSW vs. MIN,12/23/2019,22,25
DEN,DEN @ PHX,12/23/2019,4,15
MEM,MEM vs. SAS,12/23/2019,17,21
NYK,NYK vs. WAS,12/23/2019,10,12
POR,POR vs. NOP,12/23/2019,12,14
SAS,SAS @ MEM,12/23/2019,21,17
TOR,TOR vs. BOS,12/25/2019,12,15
NOP,NOP @ DEN,12/25/2019,12,19
LAC,LAC @ LAL,12/25/2019,21,20
MIL,MIL @ PHI,12/25/2019,16,18
GSW,GSW vs. HOU,12/25/2019,18,14
LAL,LAL vs. LAC,12/25/2019,20,21
PHI,PHI vs. MIL,12/25/2019,18,16
HOU,HOU @ GSW,12/25/2019,14,18
DEN,DEN vs. NOP,12/25/2019,19,12
BOS,BOS @ TOR,12/25/2019,15,12
UTA,UTA vs. POR,12/26/2019,4,7
WAS,WAS @ DET,12/26/2019,7,10
OKC,OKC vs. MEM,12/26/2019,6,23
SAS,SAS @ DAL,12/26/2019,22,8
MEM,MEM @ OKC,12/26/2019,23,6
NYK,NYK @ BKN,12/26/2019,3,6
POR,POR @ UTA,12/26/2019,7,4
SAC,SAC vs. MIN,12/26/2019,5,2
DET,DET vs. WAS,12/26/2019,10,7
BKN,BKN vs. NYK,12/26/2019,6,3
MIN,MIN @ SAC,12/26/2019,2,5
DAL,DAL vs. SAS,12/26/2019,8,22
MIA,MIA vs. IND,12/27/2019,11,21
OKC,OKC @ CHA,12/27/2019,16,11
MIL,MIL @ ATL,12/27/2019,10,11
CHA,CHA vs. OKC,12/27/2019,11,16
ATL,ATL vs. MIL,12/27/2019,11,10
ORL,ORL vs. PHI,12/27/2019,7,15
CLE,CLE @ BOS,12/27/2019,19,22
PHX,PHX @ GSW,12/27/2019,14,10
IND,IND @ MIA,12/27/2019,21,11
PHI,PHI @ ORL,12/27/2019,15,7
BOS,BOS vs. CLE,12/27/2019,22,19
GSW,GSW vs. PHX,12/27/2019,10,14
SAS,SAS vs. DET,12/28/2019,17,21
LAL,LAL @ POR,12/28/2019,21,8
BKN,BKN @ HOU,12/28/2019,14,6
CHI,CHI vs. ATL,12/28/2019,25,8
MIL,MIL vs. ORL,12/28/2019,18,14
CLE,CLE @ MIN,12/28/2019,6,15
MEM,MEM @ DEN,12/28/2019,8,9
NOP,NOP vs. IND,12/28/2019,20,12
UTA,UTA @ LAC,12/28/2019,19,14
NYK,NYK @ WAS,12/28/2019,6,14
BOS,BOS vs. TOR,12/28/2019,18,11
DAL,DAL @ GSW,12/28/2019,14,23
DET,DET @ SAS,12/28/2019,21,17
PHX,PHX @ SAC,12/28/2019,16,5
IND,IND @ NOP,12/28/2019,12,20
ORL,ORL @ MIL,12/28/2019,14,18
DEN,DEN vs. MEM,12/28/2019,9,8
SAC,SAC vs. PHX,12/28/2019,5,16
MIN,MIN vs. CLE,12/28/2019,15,6
LAC,LAC vs. UTA,12/28/2019,14,19
POR,POR vs. LAL,12/28/2019,8,21
HOU,HOU vs. BKN,12/28/2019,6,14
GSW,GSW vs. DAL,12/28/2019,23,14
PHI,PHI @ MIA,12/28/2019,17,15
ATL,ATL @ CHI,12/28/2019,8,25
TOR,TOR @ BOS,12/28/2019,11,18
WAS,WAS vs. NYK,12/28/2019,14,6
MIA,MIA vs. PHI,12/28/2019,15,17
MEM,MEM vs. CHA,12/29/2019,13,9
DEN,DEN vs. SAC,12/29/2019,8,2
CHA,CHA @ MEM,12/29/2019,9,13
LAL,LAL vs. DAL,12/29/2019,18,17
TOR,TOR vs. OKC,12/29/2019,8,9
SAC,SAC @ DEN,12/29/2019,2,8
OKC,OKC @ TOR,12/29/2019,9,8
NOP,NOP vs. HOU,12/29/2019,28,4
HOU,HOU @ NOP,12/29/2019,4,28
DAL,DAL @ LAL,12/29/2019,17,18
PHX,PHX @ POR,12/30/2019,19,5
MIA,MIA @ WAS,12/30/2019,3,18
DET,DET @ UTA,12/30/2019,11,15
POR,POR vs. PHX,12/30/2019,5,19
MIL,MIL @ CHI,12/30/2019,16,10
MIN,MIN vs. BKN,12/30/2019,4,13
WAS,WAS vs. MIA,12/30/2019,18,3
ORL,ORL vs. ATL,12/30/2019,9,8
BKN,BKN @ MIN,12/30/2019,13,4
ATL,ATL @ ORL,12/30/2019,8,9
UTA,UTA vs. DET,12/30/2019,15,11
CHI,CHI vs. MIL,12/30/2019,10,16
OKC,OKC vs. DAL,12/31/2019,7,5
LAC,LAC @ SAC,12/31/2019,11,12
GSW,GSW @ SAS,12/31/2019,8,24
CLE,CLE @ TOR,12/31/2019,4,8
CHA,CHA vs. BOS,12/31/2019,12,6
DEN,DEN @ HOU,12/31/2019,9,24
PHI,PHI @ IND,12/31/2019,8,10
IND,IND vs. PHI,12/31/2019,10,8
SAC,SAC vs. LAC,12/31/2019,12,11
BOS,BOS @ CHA,12/31/2019,6,12
SAS,SAS vs. GSW,12/31/2019,24,8
DAL,DAL @ OKC,12/31/2019,5,7
TOR,TOR vs. CLE,12/31/2019,8,4
HOU,HOU vs. DEN,12/31/2019,24,9